REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,RATIO
Illinois,2019,35,192,37652,0.800847953320028
Illinois,2019,36,243,31236,0.6875847254757008
Illinois,2019,37,360,34781,0.7218471117260463
Illinois,2019,38,331,41104,0.8583585229734739
Illinois,2019,39,334,31589,0.6635090003990842
Illinois,2019,40,1153,81556,1.4061155525376254
Illinois,2019,41,1153,70597,1.2301618258318152
Illinois,2019,42,1340,76835,1.3169896550542035
Illinois,2019,43,1658,87145,1.486719868556948
Illinois,2019,44,1523,83553,1.4303855311258835
Illinois,2019,45,1579,84837,1.43038289891951
Illinois,2019,46,1649,82080,1.4149603574000185
Illinois,2019,47,1784,84335,1.6268953277518423
Illinois,2019,48,1984,77655,1.3750163446765389
Illinois,2019,49,2279,87830,1.498659883392792
Illinois,2019,50,2582,81354,1.4792712197250708
Illinois,2019,51,3135,82197,1.5467695567965676
Illinois,2019,52,4725,81133,1.6408379602332923
Illinois,2020,1,4364,86695,1.6394166359982603
Illinois,2020,2,3672,84886,1.5622733077182263
Illinois,2020,3,3804,84243,1.5337588020772062
Illinois,2020,4,4839,87708,1.5837134491552263
Illinois,2020,5,6344,94387,1.761191609074142
Illinois,2020,6,6839,92394,1.63700147056218
Illinois,2020,7,5913,89072,1.5934957559477283
Illinois,2020,8,5545,89046,1.5725904723349395
Illinois,2020,9,4897,88165,1.5466291528351281
Illinois,2020,10,4936,89574,1.563124364058108
Illinois,2020,11,5288,85170,1.536272463896813
Illinois,2020,12,4682,66023,1.2193929595353714
Illinois,2020,13,2623,51420,0.9812530551310789
Illinois,2020,14,1704,42428,0.7932805499823816
Illinois,2020,15,1286,44856,0.8446698978217224
Illinois,2020,16,1076,44848,0.8655472913790289
Illinois,2020,17,991,48846,0.9254237288135593
Illinois,2020,18,893,50198,0.9603511911419305
Illinois,2020,19,714,48954,0.9451814314908988
Illinois,2020,20,626,52461,1.1353852608166533
Illinois,2020,21,523,54453,1.162446117592965
Illinois,2020,22,455,58211,1.2780467785492198
Illinois,2020,23,373,57816,1.2362827695334218
Illinois,2020,24,304,57182,1.2529555529336414
Illinois,2020,25,250,63849,1.3650577245666546
Illinois,2020,26,371,58199,1.304710039335114
Illinois,2020,27,368,58085,1.360608386668973
Illinois,2020,28,455,62304,1.3378481501914392
Illinois,2020,29,445,61035,1.321731091177132
Illinois,2020,30,485,60764,1.3679090071718947
Illinois,2020,31,561,63246,1.4621521389421364
Illinois,2020,32,606,61187,1.3935247306399543
Illinois,2020,33,462,60046,1.3310574908836992
Illinois,2020,34,567,63241,1.3711578627852017
Illinois,2020,35,500,64395,1.3696643990768937
Illinois,2020,36,429,62371,1.372946181093768
Illinois,2020,37,390,59493,1.2347215496368038
Illinois,2020,38,407,63079,1.3172537288498385
Illinois,2020,39,499,68060,1.4295616375055136
Illinois,2020,40,590,71623,1.234859657405983
Illinois,2020,41,739,75106,1.3087317320980256
Illinois,2020,42,641,74348,1.2743612529962898
Illinois,2020,43,739,73027,1.2458625490975759
Illinois,2020,44,874,71832,1.2297278789730408
Illinois,2020,45,1138,76572,1.2910319711454286
Illinois,2020,46,1122,77752,1.3403508492759044
Illinois,2020,47,1003,71861,1.3862610440217602
Illinois,2020,48,772,62437,1.1055552831442799
Illinois,2020,49,689,68291,1.1652622349627366
Illinois,2020,50,663,67164,1.22125245472398
Illinois,2020,51,577,63980,1.2039650625186369
Illinois,2020,52,470,57354,1.1599302425797178
Illinois,2020,53,533,59625,1.118028145245216
Illinois,2021,1,543,67417,1.2748665015179044
Illinois,2021,2,501,65293,1.2016764964875968
Illinois,2021,3,457,64417,1.1727994106739716
Illinois,2021,4,420,64586,1.1662073793398486
Illinois,2021,5,425,66006,1.2316231403535214
Illinois,2021,6,309,63361,1.1226059070533831
Illinois,2021,7,276,59562,1.0655626259178934
Illinois,2021,8,325,69469,1.226852273236708
Illinois,2021,9,293,66788,1.1716244298707257
Illinois,2021,10,310,68888,1.2021402548868527
Illinois,2021,11,321,67194,1.2120264405199304
Illinois,2021,12,411,71646,1.323245353571804
Illinois,2021,13,409,70924,1.353449857684104
Illinois,2021,14,571,76786,1.4356755046419147
Illinois,2021,15,502,77651,1.462222717936387
Illinois,2021,16,557,69734,1.3458364880713787
Illinois,2021,17,549,72706,1.3774691403005086
Illinois,2021,18,485,72041,1.3782353910724692
Illinois,2021,19,557,67971,1.3123529656385153
Illinois,2021,20,541,70315,1.5217897984087796
Illinois,2021,21,468,66521,1.4200701189723548
Illinois,2021,22,548,66350,1.45674191745101
Illinois,2021,23,561,70781,1.5135140914339478
Illinois,2021,24,523,70591,1.5467697079000153
Illinois,2021,25,564,68933,1.4737509456303655
Illinois,2021,26,557,69906,1.5671585424107026
Illinois,2021,27,604,66783,1.5643541342328318
Illinois,2021,28,670,71406,1.5332945719788442
Illinois,2021,29,716,72571,1.5715466046991997
Illinois,2021,30,805,73969,1.6651777590596055
Illinois,2021,31,863,73874,1.707855470894782
Illinois,2021,32,887,74739,1.7021694942275245
